Reviewed,Reviewer,Date,Content
140316,114443,Oct 27 2020,"
A short survey and a choice task
"
140317,97765,Oct 27 2020,"
A short survey and a choice task
"
140318,5390,Oct 27 2020,"
Answer a survey about your opinions
"
140319,138119,Oct 27 2020,"
Write synonyms for medical terms
"
140320,97471,Oct 27 2020,"
Jury Decision Making - Cases(WARNING: This HIT may contain adult content. Worker discretion advised.(~ 15 minutes)
"
140321,8067,Oct 27 2020,"
Answer a survey about your opinions on Food Product Brands
"
140322,30448,Oct 27 2020,"
Perception, judgment, and attitude study(~ 15 minutes)
"
140323,97110,Oct 26 2020,"
Rate multiple scenarios and answer a survey about your perceptions
"
140324,30448,Oct 26 2020,"
One small survey (about 2-3 min)
"
140325,30448,Oct 26 2020,"
Answer a survey about your thinking, attitude, or behaviors in given tasks and foods
"
140326,30448,Oct 26 2020,"
Risk Perception Attitudes and COVID-19
"
140327,22466,Oct 26 2020,"
Survey on attributes of consumer products 
"
140328,30448,Oct 26 2020,"
A survey to understand how Americans think about statements made by politicians
"
140329,30448,Oct 26 2020,"
Gaming Study
"
140330,30448,Oct 26 2020,"
Environmental Protection Attitude Study-15 mins
"
140331,30448,Oct 26 2020,"
Answer a survey about how writing may affect personality.
"
140332,30448,Oct 26 2020,"
Take a survey about your experience with video conferences
"
140333,114443,Oct 26 2020,"
Rate multiple scenarios and answer a survey about your perceptions (approx. 8 minutes)(~ 9 minutes)
"
140334,69177,Oct 26 2020,"
Demographic and Personality Factors in Psychological Measures(~ 15 minutes)
"
140335,103420,Oct 26 2020,"
Answer a survey about a movie?셲 appeal to men and women.
"
140336,138033,Oct 26 2020,"
Assign type of publisher from a website
"
140337,69177,Oct 26 2020,"
Answer a survey about your opinions on slippers
"
140338,116349,Oct 26 2020,"
Experience Description Study 3b(~ 5 minutes)
"
140339,90240,Oct 26 2020,"
Make decisions! 2 min, fun and high pay!(~ 2 minutes)
"
140340,121638,Oct 26 2020,"
Record yourself creating a drive thru order
"
140341,90240,Oct 26 2020,"
Survey about physical activity-related attitudes and behaviors
"
140342,121638,Oct 26 2020,"
Laptop reviews: credibility and aspects annotation
"
140343,128154,Oct 26 2020,"
a simple survey of personality
"
140344,78170,Oct 26 2020,"
Demographic and Personality Factors in Psychological Measures(~ 15 minutes)
"
140345,90240,Oct 26 2020,"
 Brown Bear Read Along
"
140346,125546,Oct 26 2020,"
Voting in experimental elections
"
140347,31284,Oct 26 2020,"
Coding Task: Categorizing Peer Support to Suicidal Ideation
"
140348,77772,Oct 26 2020,"
Answer short survey on social media and marketing(~ 5 minutes)
"
140349,103420,Oct 26 2020,"
Play the ""Launch Day"" Research Game Once
"
140350,90240,Oct 26 2020,"
Categorizing the outcome of cultural motifs (WARNING: This HIT may contain offensive or insensitive content)
"
140351,87494,Oct 26 2020,"
Survey: your opinions on climate, policies, news
"
140352,107870,Oct 26 2020,"
Answer a survey about your opinions on pediatric cochlear implant surgery
"
140353,5390,Oct 26 2020,"
Answer a survey about your personality
"
140354,135617,Oct 26 2020,"
Engaging in conversation through a chat system
"
140355,137385,Oct 26 2020,"
Answer a really quick survey about your opinions on Fashion Retail Brands
"
140356,15695,Oct 26 2020,"
Answer one question
"
140357,58382,Oct 26 2020,"
Read actual hotel reviews! - Categorize the given text content based on the provided criteria
"
140358,97093,Oct 26 2020,"
Study on social issues(~ 15 minutes)
"
140359,96716,Oct 26 2020,"
Label all the cardboard boxes on the image
"
140360,30448,Oct 26 2020,"
Paraphrasing the utterance in dialogue (1~3minutes per task)
"
140361,51,Oct 26 2020,"
Understand people's attitude towards a new movie(~ 10 minutes)
"
140362,114443,Oct 26 2020,"
Qualification Task - Exception in Commonsense Knowledge Graphs
"
140363,30448,Oct 25 2020,"
2-minute survey about a method to receive medical care - no personal data collected
"
140364,30448,Oct 25 2020,"
Answer some survey questions (3-4 minutes)
"
140365,30448,Oct 25 2020,"
3-minute survey 
"
140366,30448,Oct 25 2020,"
2020 Oct _ Interbrand Study(~ 15 minutes)
"
140367,51,Oct 25 2020,"
Communication Choices and Self
"
140368,30448,Oct 25 2020,"
Impact of the COVID-19 pandemic in patients with non-oncologic chronic pain: a public health approach
"
140369,49464,Oct 25 2020,"
Qual for Hateful speech
"
140370,30448,Oct 25 2020,"
Answer a Survey About Politics, Elections, and Campaigns
"
140371,114443,Oct 25 2020,"
Impact of the COVID-19 pandemic in patients with non-oncologic chronic pain: a public health approach
"
140372,69177,Oct 25 2020,"
Answer a survey about anti-drunk driving advertisement
"
140373,127409,Oct 25 2020,"
Psychology, Politics, and Game of Thrones
"
140374,127409,Oct 25 2020,"
Talk Radio Survey
"
140375,127409,Oct 25 2020,"
Chatbot Conversation (native English speakers only &amp; only one hit at a time please) 
"
140376,127409,Oct 25 2020,"
Stock Investment Simulation 
"
140377,69177,Oct 25 2020,"
A survey about shopping behaviors
"
140378,135617,Oct 25 2020,"
Answer a short survey regarding parent perspectives of youths' legal rights
"
140379,97765,Oct 25 2020,"
Rate Meaning of 100 English Sentences (native English speakers only - strict quality checks included)
"
140380,87494,Oct 25 2020,"
Survey: Market Research about Runners and Running Injuries
"
140381,121638,Oct 25 2020,"
Answer a survey about your opinions on pediatric cochlear implant surgery
"
140382,90240,Oct 25 2020,"
Answer a Survey About Politics, Elections, and Campaigns
"
140383,138140,Oct 25 2020,"
Answer a survey about your opinions on pediatric cochlear implant surgery
"
140384,114443,Oct 25 2020,"
Answer a survey about influencer marketing
"
140385,97765,Oct 25 2020,"
Online Employee Survey(~ 3 minutes)
"
140386,106430,Oct 25 2020,"
Participate in the development of software to maximize renewable energy generation
"
140387,61630,Oct 25 2020,"
What Makes Photographs Iconic?
"
140388,10866,Oct 25 2020,"
The Essential Aspects to Accurately Evaluate the Purpose of Others??Actions
"
140389,68432,Oct 25 2020,"
""Answer a short 3 minute survey about local politics""
"
140390,138058,Oct 25 2020,"
Labeling of food images
"
140391,10866,Oct 25 2020,"
Test a simple mobile app for 5 minutes and answer a 9 minutes survey
"
140392,97765,Oct 25 2020,"
Short Public Opinion Survey
"
140393,28080,Oct 25 2020,"
Survey on decision makings ( 3 minutes)(~ 3 minutes)
"
140394,72934,Oct 25 2020,"
Answer a survey about your opinions on pediatric cochlear implant surgery
"
140395,51846,Oct 25 2020,"
Answer a short 3 minute survey about local politics
"
140396,30448,Oct 24 2020,"
Melody Mistuning Study - Up to $6.50 BONUS; possible for a total of $6.75&lt;40 mins
"
140397,30448,Oct 24 2020,"
Survey on decision makings ( 3 minutes)(~ 3 minutes)
"
140398,30448,Oct 24 2020,"
Survey on your preferences!
"
140399,114443,Oct 24 2020,"
QUICK 3-QUESTION MULTIPLE CHOICE SURVEY
"
140400,30448,Oct 24 2020,"
Consumer Decision Making (~ 18 minutes)
"
140401,114443,Oct 24 2020,"
Choose the Most Appealing Image;Pick an Image (10 seconds)
"
140402,97110,Oct 24 2020,"
QUICK 3-QUESTION MULTIPLE CHOICE SURVEY
"
140403,30448,Oct 24 2020,"
Your Opinions About A Crisis (A)
"
140404,30448,Oct 24 2020,"
Change in Environmental Risk Perception During the COVID-19 Pandemic
"
140405,77772,Oct 24 2020,"
Help Improve the Dialogue
"
140406,30448,Oct 24 2020,"
George Washington University Survey
"
140407,30448,Oct 24 2020,"
Answer a survey about your purchases during the COVID-19 pandemic
"
140408,69177,Oct 24 2020,"
Answer a survey about rap music and violence
"
140409,90240,Oct 24 2020,"
Two Part Social Attitudes Study(~ 10 minutes)
"
140410,96871,Oct 24 2020,"
Answer a survey about a kitchen design
"
140411,53868,Oct 24 2020,"
Answer a survey about consumer evaluations and preferences
"
140412,66688,Oct 24 2020,"
Answer a survey about Tuberculosis/TB (the disease) for a student project.
"
140413,5390,Oct 24 2020,"
Labeling of food images
"
140414,114443,Oct 24 2020,"
Part 1 of 2: Parent-Report on autism symptoms- Child must be 11-30 years old(~ 20 minutes)
"
140415,97471,Oct 23 2020,"
Psychology Study(~ 20 minutes)
"
140416,69177,Oct 23 2020,"
null
"
140417,30448,Oct 23 2020,"
Assessment of Visual Avatars
"
140418,121638,Oct 23 2020,"
Short Survey of Attitudes toward Current Events(~ 10 minutes)
"
140419,30448,Oct 23 2020,"
Survey about product search
"
140420,90240,Oct 23 2020,"
Opinions survey(~ 10 minutes)
"
140421,30448,Oct 23 2020,"
Perfecting the Circumcision. WARNING: This HIT contains adult content. Worker discretion is advised.
"
140422,29349,Oct 23 2020,"
What Makes Photographs Iconic?
"
140423,69177,Oct 23 2020,"
null
"
140424,82492,Oct 23 2020,"
Follow-Up Survey on Presidential Election (~ 10 minutes)
"
140425,97471,Oct 23 2020,"
Consumer Opinions Survey (~ 5 minutes)
"
140426,28930,Oct 23 2020,"
Psychology Study(~ 20 minutes)
"
140427,92757,Oct 23 2020,"
Personality Test (~15 mins)
"
140428,97110,Oct 23 2020,"
Evaluating Appeals(~ 5 minutes)
"
140429,90240,Oct 23 2020,"
Answer a SHORT survey about your demographics; Answer a survey about you mood and romantic relationship
"
140430,109202,Oct 23 2020,"
Answer a survey about your vehicle &amp; its features(~ 30 minutes)
"
140431,90240,Oct 23 2020,"
Survey about your food purchasing habits before and during the COVID-19 pandemic
"
140432,90240,Oct 23 2020,"
Help us test early product designs
"
140433,68432,Oct 23 2020,"
""Puzzles and your experiences(~ 13 minutes)""
"
140434,31284,Oct 23 2020,"
Perfecting the Circumcision. WARNING: This HIT contains adult content. Worker discretion is advised.
"
140435,56633,Oct 23 2020,"
short survey for $0.50(~ 5 minutes)
"
140436,97765,Oct 23 2020,"
Personality and Emotion Follow Up Survey (~ 30 minutes)
"
140437,97765,Oct 23 2020,"
Perfecting the Circumcision. WARNING: This HIT contains adult content. Worker discretion is advised.
"
140438,108681,Oct 23 2020,"
Participate in the development of software to maximize renewable energy generation 
"
140439,97765,Oct 23 2020,"
Answer a survey about your shopping experience
"
140440,114443,Oct 23 2020,"
Rating of Tweets(~ 20 minutes)
"
140441,109202,Oct 23 2020,"
Change in Environmental Risk Perception During the COVID-19 Pandemic
"
140442,97765,Oct 23 2020,"
Organizational Scenario (~ 5 minutes)
"
140443,97765,Oct 23 2020,"
Experience Description Study 3a(~ 5 minutes)
"
140444,30718,Oct 23 2020,"
Talk Radio Survey
"
140445,111308,Oct 23 2020,"
Context, Framing and Exponential Growth 4
"
140446,97765,Oct 23 2020,"
15-min survey about your media preferences
"
140447,68432,Oct 23 2020,"
""Estimate the number of pearls in a vase""
"
140448,75180,Oct 23 2020,"
Survey about your work style with Brief English Writing Exercise
"
140449,122106,Oct 23 2020,"
Estimate the number of pearls in a vase
"
140450,51,Oct 23 2020,"
Behavioral Econometrics
"
140451,44672,Oct 23 2020,"
Tag 100 illustrations: best workers get unlimited work for $$$
"
140452,137393,Oct 22 2020,"
Group Choice Task(~ 20 minutes)
"
140453,30448,Oct 22 2020,"
Survey on Foreign Policy and the Use of Force
"
140454,30448,Oct 22 2020,"
Native Advertisements on Social Media
"
140455,30448,Oct 22 2020,"
Perceptions of Master Workers(~ 5 minutes)
"
140456,30448,Oct 22 2020,"
Answer a survey about your perceptions of brands
"
140457,30448,Oct 22 2020,"
Seeking Sport Fans for Survey
"
140458,30448,Oct 22 2020,"
Take a 7-min survey! 
"
140459,90240,Oct 22 2020,"
Looking for people who use a cloud storage system for digital files - apply via this quick survey for a longer follow-up study
"
140460,90240,Oct 22 2020,"
A survey exploring home organization preferences
"
140461,114443,Oct 22 2020,"
Romantic relationships experience study(~ 7 minutes)
"
140462,135617,Oct 22 2020,"
Answer a short survey about your neighborhood and your sleep habits
"
140463,30448,Oct 22 2020,"
 Understanding Treatment Beliefs in Families 
"
140464,15695,Oct 22 2020,"
Talk Radio Survey
"
140465,30448,Oct 22 2020,"
Personality and sustainability(~ 30 minutes)
"
140466,7871,Oct 22 2020,"
Compensation Task for Lookahead
"
140467,104880,Oct 22 2020,"
COMPLETE $1.25 SURVEY TO QUALIFY FOR $16+ HIT IN LESS THAN 5 MINUTES!
"
140468,56780,Oct 22 2020,"
Survey about your work style with Brief English Writing Exercise
"
140469,77772,Oct 22 2020,"
Group Choice Task(~ 20 minutes)
"
140470,106430,Oct 22 2020,"
Open-minded cognition study
"
140471,6555,Oct 22 2020,"
COVID-19 Testing Among Labor and Delivery Patients
"
140472,126023,Oct 22 2020,"
ntentions to consume vegan food
"
140473,114947,Oct 22 2020,"
Take a survey about social media content.(~ 20 minutes)
"
140474,17975,Oct 22 2020,"
Exploration of mental illness in social media
"
140475,1287,Oct 22 2020,"
Context, Framing, and Exponential Growth
"
140476,90240,Oct 22 2020,"
Opinion and Belief Survey(~ 3 minutes)
"
140477,68432,Oct 22 2020,"
""Impressions of companies' messages about current events(~ 10 minutes)""
"
140478,68432,Oct 22 2020,"
""4 Minute Survey(~ 4 minutes)""; ""A Short Survey(~ 2 minutes)""
"
140479,14047,Oct 22 2020,"
Consumer Preferences(~ 5 minutes)
"
140480,75272,Oct 22 2020,"
 Academic Research Study(~ 14 minutes) 
"
140481,56780,Oct 22 2020,"
 Opinion Survey BX9 (Part 1 of 3)(~ 10 minutes)
"
140482,97093,Oct 22 2020,"
 Brand Choice(~ 3 minutes)
"
140483,74522,Oct 22 2020,"
Survey about you and your work
"
140484,60593,Oct 22 2020,"
Microphone Required - Record 40s of audio
"
140485,106430,Oct 22 2020,"
Group decision making with bonus
"
140486,57213,Oct 22 2020,"
Answer a survey about your opinions
"
140487,3187,Oct 22 2020,"
Lookahead Experiment
"
140488,104880,Oct 21 2020,"
COVID-19 Knowledge(~ 15 minutes)
"
140489,30448,Oct 21 2020,"
Scenario study(~ 10 minutes)
"
140490,30448,Oct 21 2020,"
Quick survey about messaging with smartphones
"
140491,30448,Oct 21 2020,"
View of the Not Guilty By Reason of Insanity (NGRI)
"
140492,121638,Oct 21 2020,"
Please do the survey about civility for me.
"
140493,30448,Oct 21 2020,"
A Psychological Study of COVID-19 Fatigue(20 minutes)
"
140494,30448,Oct 21 2020,"
Survey about Workplace Relationships
"
140495,30448,Oct 21 2020,"
Answer a survey about moral dilemmas.
"
140496,69177,Oct 21 2020,"
null
"
140497,116874,Oct 21 2020,"
COMPLETE $1.25 SURVEY TO QUALIFY FOR $16+ HIT IN LESS THAN 5 MINUTES!
"
140498,30934,Oct 21 2020,"
Evaluation on audio quality
"
140499,28080,Oct 21 2020,"
""Annotate Contradictions in Conversation""
"
140500,72006,Oct 21 2020,"
Evaluation on audio quality
"
140501,29851,Oct 21 2020,"
Lookahead Experiment
"
140502,42910,Oct 21 2020,"
Survey to understand online checkout donation behaviour
"
140503,90240,Oct 21 2020,"
Your views and predictions(~ 4 minutes)
"
140504,97765,Oct 21 2020,"
Voter Behavior Survey
"
140505,109202,Oct 21 2020,"
Answer a Survey About Music Streaming (3min)
"
140506,90240,Oct 21 2020,"
Answer questions about short comics
"
140507,97765,Oct 21 2020,"
Join a long-term survey on your beliefs
"
140508,97765,Oct 21 2020,"
Answer questions about short comics
"
140509,103420,Oct 21 2020,"
Validity and Reliability of the Technology and Automation Worry and Knowledge Scales (TAWKS 25-item)
"
140510,138058,Oct 21 2020,"
Recruitment for UCL study on Actor's Mental Health and their Resilience
"
140511,72734,Oct 21 2020,"
Storage and Moving Companies Perceptions Survey
"
140512,109202,Oct 21 2020,"
Select facts and opinions, given a short dialogue.
"
140513,90240,Oct 21 2020,"
Short consumer survey(~ 1 minutes)
"
140514,55165,Oct 21 2020,"
2020 Election Survey (10 minutes)
"
140515,90240,Oct 21 2020,"
Virtual Walk!(~ 3 minutes)
"
140516,90240,Oct 21 2020,"
Very short survey(~ 1 minutes)
"
140517,137393,Oct 21 2020,"
Describing actions(~ 5 minutes)
"
140518,51,Oct 21 2020,"
Participate in an online experiment about auditive stimulation and attention.
"
140519,90240,Oct 21 2020,"
Participate in a brief, scenario-based study for research purposes!(~ 5 minutes)
"
140520,90240,Oct 21 2020,"
25/2020 A study on customer preferences(~ 3 minutes)
"
140521,90240,Oct 21 2020,"
Consumer Politics Survey(~ 8 minutes)
"
140522,90240,Oct 21 2020,"
Social Psychology Study(~ 10 minutes)
"
140523,96871,Oct 21 2020,"
Evaluate &amp; Score Online Discussion Text
"
140524,29514,Oct 21 2020,"
Collect data about a given organization
"
140525,90240,Oct 21 2020,"
Short fun research study(~ 5 minutes)
"
140526,92757,Oct 21 2020,"
Movie recommendation system
"
140527,92757,Oct 21 2020,"
Rank occupations based on their professionalism
"
140528,51,Oct 21 2020,"
Consumer Preferences of Market-Related Traits of Ratibida Columnifera
"
140529,138058,Oct 21 2020,"
Collect data from a Real Estate Investment Manager Website
"
140530,58382,Oct 21 2020,"
Dual-Earner Couples and Life Satisfaction
"
140531,97471,Oct 21 2020,"
Evaluating fictional character(~ 15 minutes)
"
140532,30448,Oct 21 2020,"
Answer a survey about politics
"
140533,30448,Oct 21 2020,"
Survey on Appointment Systems 2020
"
140534,30448,Oct 20 2020,"
Survey about your Personality, Emotions, and Lived Experiences
"
140535,30448,Oct 20 2020,"
Psychology of Secrets - T1(~ 25 minutes)
"
140536,30448,Oct 20 2020,"
Answer a short survey regarding parent perspectives of youths' legal rights
"
140537,5390,Oct 20 2020,"
Translate English instructions to Hindi (Must be fluent in reading/writing Hindi and speaking English)
"
140538,90240,Oct 20 2020,"
Answer a survey about contemporary political attitudes
"
140539,97110,Oct 20 2020,"
Rate voice clips on a scale of 1-5
"
140540,109202,Oct 20 2020,"
Answer a survey about decision-making and current events
"
140541,97110,Oct 20 2020,"
Academic Survey(~ 2 minutes)
"
140542,90240,Oct 20 2020,"
5 Minute Survey - Watch a Video &amp; Shopping(~ 5 minutes)
"
140543,41385,Oct 20 2020,"
Decision making for election results Short Version-batch5
"
140544,90240,Oct 20 2020,"
Choices(~ 5 minutes); Decisions(~ 3 minutes)
"
140545,42831,Oct 20 2020,"
 2 Minute Survey for $0.20(~ 2 minutes)
"
140546,10866,Oct 20 2020,"
Economic Decisions in Social Contexts
"
140547,138058,Oct 20 2020,"
Assign main content type for a social media page.
"
140548,42831,Oct 20 2020,"
Sign visibility
"
140549,31284,Oct 20 2020,"
Collect data from a Real Estate Investment Manager Website
"
140550,138058,Oct 20 2020,"
Write rules about the story you read. (Bonuses provided for every task)
"
140551,137823,Oct 20 2020,"
Find CITY OF BIRTH of Telecommunications managers. INCLUDE LINK TO SOURCE
"
140552,122037,Oct 20 2020,"
Color every pixel of each object its assigned color
"
140553,122106,Oct 20 2020,"
Make decisions! 2 min, fun and high pay!(~ 2 minutes)
"
140554,96716,Oct 20 2020,"
Cognitive Control Task(~ 35 minutes)
"
140555,122037,Oct 20 2020,"
Research on Human Decisions(~ 90 minutes)
"
140556,68432,Oct 20 2020,"
""Opinion Survey (Part 1 of 3)(~ 10 minutes)""
"
140557,109202,Oct 20 2020,"
Shaking Sweatcoin
"
140558,45633,Oct 20 2020,"
Evaluate the sentiment of 10 sentences
"
140559,56633,Oct 20 2020,"
Answer a 5 minutes survey about online hotel reviews  
"
140560,136632,Oct 20 2020,"
Research study on personality, attitudes, and social issues (30 cents for ~ 10 min, payment within 1 day)
"
140561,54142,Oct 20 2020,"
Find CITY OF BIRTH of Telecommunications managers. INCLUDE LINK TO SOURCE
"
140562,109202,Oct 20 2020,"
Human Psychology Research ~ approx 30 mins
"
140563,109202,Oct 20 2020,"
Academic Research Study(~ 14 minutes)
"
140564,104880,Oct 20 2020,"
Economic Decision Task
"
140565,10866,Oct 20 2020,"
Participate in the second part in the longitudinal study about personality (approx. 15 minutes)
"
140566,29851,Oct 20 2020,"
Sign visibility
"
140567,10866,Oct 20 2020,"
Reading case and complete simple math taks
"
140568,97765,Oct 20 2020,"
Short survey on Customer Opinion(~ 3 minutes)
"
140569,31178,Oct 20 2020,"
Academic Research Study(~ 14 minutes)
"
140570,12673,Oct 20 2020,"
null
"
140571,104880,Oct 20 2020,"
Answer a survey about moral and unethical workplace behaviors
"
140572,97471,Oct 19 2020,"
Crime Experience Survey
"
140573,56780,Oct 19 2020,"
Judge English Sentences
"
140574,113747,Oct 19 2020,"
Rate Outdoor Images
"
140575,90240,Oct 19 2020,"
 Short survey, approximately 4 minutes for $0.23
"
140576,72006,Oct 19 2020,"
Survey on Health: You will be payed $0.10 for screen and $3 if eligible and complete the survey
"
140577,137775,Oct 19 2020,"
Talk Radio Survey
"
140578,97110,Oct 19 2020,"
Answer a survey about politics
"
140579,56640,Oct 19 2020,"
COMPLETE $1.25 SURVEY TO QUALIFY FOR $16+ HIT IN LESS THAN 5 MINUTES!
"
140580,72492,Oct 19 2020,"
Online Multiple Shopping Task-Version A(~ 60 minutes)
"
140581,65335,Oct 19 2020,"
Answer a survey about a mobile app interface
"
140582,87494,Oct 19 2020,"
Answer a survey about your attitudes
"
140583,90240,Oct 19 2020,"
Give us your opinion about currency(~ 1 minutes)
"
140584,82492,Oct 19 2020,"
A Study on Human Decision Making (with bonus)
"
140585,106430,Oct 19 2020,"
Answer a survey about your attitudes
"
140586,138080,Oct 19 2020,"
Talk Radio Survey
"
140587,90240,Oct 19 2020,"
A 5 minute survey on politics for a research study
"
140588,96716,Oct 19 2020,"
Personality and Politics Study
"
140589,90240,Oct 19 2020,"
Pick between 2 images - Which Product would you buy?
"
140590,114947,Oct 19 2020,"
How Good Are Your Estimates?
"
140591,97765,Oct 19 2020,"
Website Data Collection
"
140592,90240,Oct 19 2020,"
Cupcakes by Ritaa
"
140593,90240,Oct 19 2020,"
Credit Card Rewards Survey(~ 15 minutes)
"
140594,10866,Oct 19 2020,"
Native Advertisements on Social Media
"
140595,122106,Oct 19 2020,"
Film-watching Experience(~ 8 minutes)
"
140596,122106,Oct 19 2020,"
Evaluating employees(~ 10 minutes)
"
140597,103420,Oct 19 2020,"
Answer a survey about politics, $1
"
140598,90240,Oct 19 2020,"
Answer a survey about politics
"
140599,101605,Oct 19 2020,"
Virtual Adjustment Wave 2(~ 10 minutes)
"
140600,90240,Oct 19 2020,"
Quick Survey(~ 3 minutes)
"
140601,90240,Oct 19 2020,"
Collect data from a property transaction website
"
140602,98337,Oct 19 2020,"
Answer a survey about images and emotions - Only for workers that DID NOT fill ANY of our survey in the past
"
140603,97093,Oct 19 2020,"
Describe People's Previous/Next Actions Based on a Given Event
"
140604,103420,Oct 19 2020,"
Assessing Others' Memories and Remembering Tweets
"
140605,5390,Oct 19 2020,"
Compare the influence of Twitter Users
"
140606,5390,Oct 19 2020,"
Chat and evaluate bot with a specified goal
"
140607,30448,Oct 18 2020,"
Answer a survey on depression scales 
"
140608,30448,Oct 18 2020,"
COVID-19 Vaccination Opinions
"
140609,90240,Oct 18 2020,"
Collect the Address and GPS Coordinates of Law Enforcement Agencies in the Northeast
"
140610,30448,Oct 18 2020,"
Parents Thoughts about Child Mental Health(~ 40 minutes)
"
140611,30448,Oct 18 2020,"
Answer a survey about the impact of the COVID-19 pandemic on sexual behaviors and substance use
"
140612,138033,Oct 18 2020,"
Extract purchased items from a shopping receipt (medium)
"
140613,90240,Oct 18 2020,"
Academic Survey(~ 5 minutes)
"
140614,128154,Oct 18 2020,"
Coronavirus and Sexual Attitudes
"
140615,121638,Oct 18 2020,"
Assessing Others' Memories and Remembering Tweets(~ 35 minutes)
"
140616,97471,Oct 18 2020,"
Rating Images on Emotion(~ 10 minutes)
"
140617,97471,Oct 18 2020,"
Thoughts and Feelings Regarding Others
"
140618,31284,Oct 18 2020,"
Evaluate a job and answer work values questions ~10min
"
140619,122106,Oct 18 2020,"
Rating Images on Emotion(~ 10 minutes)
"
140620,68432,Oct 18 2020,"
""Quick Memory and Impressions Study!(~ 10 minutes)""
"
140621,10866,Oct 18 2020,"
Share your views on current events -- Participate university research(~ 8 minutes)
"
140622,19228,Oct 18 2020,"
Draw a line on a page and get paid.
"
140623,97471,Oct 18 2020,"
Share your opinions on current events
"
140624,109050,Oct 18 2020,"
Thoughts and Feelings Regarding Others
"
140625,31278,Oct 17 2020,"
Gamification Opinion Survey
"
140626,121638,Oct 17 2020,"
Politics and Interracial Relationships
"
140627,90240,Oct 17 2020,"
Belief and Decison-Making(~ 5 minutes)
"
140628,57861,Oct 17 2020,"
Talk Radio Survey
"
140629,90240,Oct 17 2020,"
Answer a survey about your opinions
"
140630,106430,Oct 17 2020,"
What would make you suspect your spouse/partner is hiding a debt?
"
140631,91241,Oct 17 2020,"
Very Fast &amp; Easy Perception Survey(~ 1 minutes)
"
140632,75272,Oct 17 2020,"
About 2-3 minutes. Answer some simple questions.(~ 2 minutes)
"
140633,97765,Oct 17 2020,"
Financial Investment Opinions, Beliefs, and Preferences (~10 minutes)
"
140634,103420,Oct 17 2020,"
2020 Survey about an NBA sponsor
"
140635,121638,Oct 17 2020,"
Read 6 short texts and answer questions about them. Only native speakers! (13-15 min)
"
140636,97765,Oct 17 2020,"
QUICK 3-QUESTION MULTIPLE CHOICE SURVEY
"
140637,90240,Oct 17 2020,"
Read 6 short texts and answer questions about them. Only native speakers! (13-15 min)
"
140638,10866,Oct 17 2020,"
Selection process (~ 15 minutes)
"
140639,51,Oct 17 2020,"
Participate in a 16 minute wellness session and answer questions about your feelings and thoughts!
"
140640,90240,Oct 17 2020,"
Brand Attitudes (~ 10 minutes)
"
140641,1287,Oct 17 2020,"
QUICK 3-QUESTION MULTIPLE CHOICE SURVEY
"
140642,90240,Oct 17 2020,"
Feminine Hygiene Beliefs
"
140643,90240,Oct 17 2020,"
 Risk Perception Survey on a Health Issue
"
140644,80922,Oct 17 2020,"
Life Experiences Survey (Monthly Surveys, $0.50-1.25 Per Survey, $6.50 Total)
"
140645,4141,Oct 17 2020,"
Survey for IBS Patient's Perspective on New, Non-Drug Therapy
"
140646,42831,Oct 17 2020,"
Face experiment
"
140647,90240,Oct 16 2020,"
Answer a question about an Imaginary Animal!
"
140648,97110,Oct 16 2020,"
Take a simple survey about decision-making
"
140649,42831,Oct 16 2020,"
Provide Feedback 4788b77a
"
140650,50101,Oct 16 2020,"
undefined
"
140651,105753,Oct 16 2020,"
Describe People's Intention/Reaction Towards a Given Event
"
140652,54920,Oct 16 2020,"
Survey of Perceptions of Robot Videos
"
140653,68432,Oct 16 2020,"
""Opinions study (15 minutes, $1.80)""
"
140654,33282,Oct 16 2020,"
Coping and time in success aging. 
"
140655,17936,Oct 16 2020,"
Crime Experience Survey
"
140656,15365,Oct 16 2020,"
Picture description and matching experiment
"
140657,137393,Oct 16 2020,"
Take a simple survey about decision-making
"
140658,90240,Oct 16 2020,"
One question survey with minimum additional bonus of $2.5 dollar(~ 1 minutes)
"
140659,75272,Oct 16 2020,"
Psychology Study(~ 15 minutes)
"
140660,58288,Oct 16 2020,"
Help us make a decision for our study(~ 10 minutes)
"
140661,68432,Oct 16 2020,"
""Opinion on public acts (part 4)(~ 10 minutes)""
"
140662,138060,Oct 16 2020,"
Market Research 
"
140663,122106,Oct 16 2020,"
Share your memories(~ 20 minutes)
"
140664,128861,Oct 16 2020,"
Reading English sentences(~ 7 minutes)
"
140665,96716,Oct 16 2020,"
Rate the quality of enhanced speech samples (100 seconds, avg. rate with bonuses: $20/hour)
"
140666,75272,Oct 16 2020,"
Economics survey
"
140667,75272,Oct 16 2020,"
Share your views on current events -- Participate university research(~ 8 minutes)
"
140668,106430,Oct 16 2020,"
 Personality and Videogames
"
140669,75272,Oct 16 2020,"
COMPLETE $1.25 SURVEY TO QUALIFY FOR $16+ HIT IN LESS THAN 5 MINUTES!;!!!START NOW!!! The Sales Game ($16+ for 60 minutes)
"
140670,51,Oct 16 2020,"
How Fast and Accurate are you? - Cognitive Decision Making Task (Approximately 30-60 minutes)
"
140671,138058,Oct 16 2020,"
Record first to twenty floor.
"
140672,137256,Oct 16 2020,"
Help us make a decision for our study(~ 10 minutes)
"
140673,10866,Oct 16 2020,"
COVID-19 Vaccination Opinions
"
140674,137393,Oct 16 2020,"
A short survey and a choice task
"
